ID,Fruta,Precio,Valor Nutricional,Propiedad,Organica,Cantidad inventario,Enlace de Imagen,Promocion,Link Video,Unidades faltantes para meta,Producto Nuevo?,Tiene descuento?,Cantidad descuento,Caracteristicas de la fruta,Beneficios funcionales de las frutas,Lugar de procedencia,Consumo en Colombia,Recomendaciones de consumo,Porción de consumo recomendada,Caracteristicas de Sabor,Caracteristicas de textura,Caracteristicas de Olor,Calorías x 100gr,Indice Glucemico,Contenido de Agua (%),Usos Culinarios comunes,Recomendación de almacenamiento,Alergenos Potenciales,Compativilidad dietetica
1,Manzana,17.41,5.31,Rica en Vitaminas,No,120,https://www.istockphoto.com/es/fotos/apple,Si,https://www.youtube.com/watch?v=wEPlVI-5Qyk,10,No,No,0%,"Fruta crujiente y jugosa, de sabor dulce o ácido, con piel que varía en color.         "," Rica en fibra y antioxidantes, ayuda en la digestión, y puede reducir el riesgo de enfermedades cardiovasculares. "," Cundinamarca, Boyacá, Nariño, y algunos sectores de Santander.","200,000 toneladas",Cruda como snack.<br>- En ensaladas.<br>- Cocida para compotas o en postres como tartas.,150-200 g,"Dulce, ligeramente ácida"," Crujiente, jugosa"," Fresco, suave",52,Bajo (36-40),86,"Snack, ensaladas, compotas, postres", Refrigerada (1-2 meses) o a temperatura ambiente (1-2 sem,anas)     Raras veces alérgica," Vegana, vegetariana, sin gluten"
2,Platano,8.16,8.77,Bajo en Calorías,No,200,https://www.dreamstime.com/royalty-free-stock-image-banana-close-up-isolated-white-image31151806,Si,https://www.youtube.com/watch?v=SyB1wLmAvIU,20,No,No,0%,"Fruta alargada con piel amarilla cuando madura, suave y dulce en su interior.          "," Fuente de potasio, ayuda a regular la presión arterial y mantener la función muscular y nerviosa.                    "," Urabá (Antioquia), Magdalena, y algunas áreas de Valle del Cauca, Santander, y Cauca.","1,500,000 toneladas",Crudo como snack.<br>- En batidos o licuados.<br>- Frito o asado como acompañamiento.,100-120 g,"Dulce, suave","Cremosa, firme cuando madura"," Suave, dulce",89,Medio (51),74,"Snack, batidos, frito o asado, repostería", A temperatura ambiente (3-7 días), Alérgeno en personas con alergia a," Vegana, vegetariana, sin gluten"
3,Zanahoria,16.17,1.15,Organico,No,150,https://capitalcityfruit.com/shop/carrots-jumbo-5-lb/,Si,https://www.youtube.com/watch?v=jWzqdjl5kHQ,30,No,Si,20%,"Raíz comestible, crujiente y dulce, rica en betacarotenos y vitaminas.                  "," Alta en betacarotenos (vitamina A), mejora la salud ocular, y apoya la función inmunitaria.                            "," Cundinamarca, Boyacá, y partes de Antioquia y Nariño.","300,000 toneladas",Cruda como snack o en ensaladas.<br>- Cocida al vapor o hervida.<br>- En sopas o guisos.,80-100 g,"Dulce, terrosa",Crujiente," Ligero, terroso",41,Bajo (16),88,"Ensaladas, cocida en sopas, guisos, cruda", Refrigerada (1-2 semanas), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
4,Datiles,17.1,9.22,No GMO,No,300,https://www.istockphoto.com/es/foto/crudo-orgánicos-medjool-fechas-gm516816924-89167553,Si,https://www.youtube.com/watch?v=XOwJjWMf__Q,40,No,No,0%,"Fruta pequeña, dulce y pegajosa, con un hueso en su interior.                          "," Aportan energía rápida, ricos en fibra, y contienen minerales como potasio y magnesio que apoyan la salud digestiva y cardiovascular. "," La producción es limitada, pero se cultivan en áreas áridas y semiáridas en La Guajira.","10,000 toneladas",Como snack dulce.<br>- En postres o batidos.<br>- Picados en ensaladas o mezclados con cereales.,30-40 g,Muy dulce,"Pegajosa, suave"," Dulce, caramelo",282,Alto (103),21,"Snack, postres, ensaladas, batidos", Almacenados en un lugar fresco y seco (varios meses), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
5,Berenjena,2.41,6.73,Rico en Proteínas,No,75,https://www.bunnings.com.au/diy-advice/garden/planting-and-growing/how-to-grow-eggplant,Si,https://www.youtube.com/watch?v=UWl0FJ6H7sg,30,No,No,0%,"Vegetal con piel morada y pulpa blanca, de sabor suave y textura esponjosa al cocinar. "," Contiene antioxidantes y fibra, puede ayudar a reducir el colesterol y mejorar la salud del corazón.                 "," Cundinamarca, Antioquia, y Valle del Cauca.","50,000 toneladas",Asada o a la parrilla.<br>- En guisos o curries.<br>- Rebanada y horneada con queso.,150-200 g,"Suave, ligeramente amarga","Esponjosa cuando cruda, suave al","cinar  Neutro, ligero amargo",25,Bajo (15),92,"Asada, a la parrilla, guisos, rebanada y horneada", Refrigerada (5-7 días), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
6,Higo,14.84,0.68,Alto en Fibra,No,60,https://www.istockphoto.com/es/foto/sabrosos-higos-orgánicos-en-el-mercado-local-gm152123469-14497416,Si,https://www.youtube.com/watch?v=PvgBXb3pm3c,20,No,No,0%,"Fruta pequeña con piel que puede ser morada, verde o negra, y pulpa dulce y jugosa.    "," Buena fuente de fibra, antioxidantes, y minerales, favorece la salud digestiva y el control del azúcar en sangre.     ", Zonas de clima templado en Boyacá y Cundinamarca.,"5,000 toneladas",Fresco como snack o postre.<br>- En ensaladas o como acompañamiento de quesos.<br>- En mermeladas o compotas.,50-70 g,"Dulce, con toques de miel","Suave, ligeramente granulosa"," Dulce, floral",74,Medio (61),79,"Snack, ensaladas, acompañamiento de quesos, mermeladas", Refrigerada (2-3 días), Alérgeno en personas sensibles al," Vegana, vegetariana, sin gluten"
7,Uvas,3.91,0.52,Todo Natural,No,180,https://pixabay.com/images/search/grapes/,Si,https://www.youtube.com/watch?v=LazW4blbh-4,45,No,No,0%,"Frutas pequeñas y redondas, pueden ser verdes, rojas o moradas, dulces y jugosas.      "," Ricas en antioxidantes como resveratrol, benefician la salud cardiovascular y tienen propiedades antiinflamatorias.    ", Valle del Cauca y algunas zonas de Boyacá.,"80,000 toneladas",Frescas como snack.<br>- En ensaladas o con queso.<br>- Secas como pasas para postres o mezcladas con cereales.,80-100 g,"Dulce, ligeramente ácida","Jugosa, suave"," Fresco, dulce",69,Medio (46-59),81,"Snack, ensaladas, pasas, acompañamiento con queso", Refrigerada (1-2 semanas), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
8,Melon,1.66,1.76,Bajo en Sodio,No,90,https://www.istockphoto.com/es/foto/melones-frescos-maduros-en-la-mesa-de-madera-gm1291607543-386674947,Si,https://www.youtube.com/watch?v=z4PpRJpIkLY,55,No,No,0%,"Fruta grande, dulce y jugosa, con pulpa que varía en color desde verde hasta naranja. "," Hidratante y bajo en calorías, aporta vitaminas A y C, y puede apoyar la salud de la piel y el sistema inmunológico. "," Córdoba, Sucre, y algunos sectores de la región Caribe y de los Llanos Orientales.","60,000 toneladas",Fresco como snack o postre.<br>- En ensaladas de frutas.<br>- Como parte de batidos o jugos.,150-200 g,"Dulce, suave","Jugosa, firme"," Dulce, refrescante",34,Bajo (65),90,"Snack, ensaladas, jugos, batidos"," Refrigerada (5-7 días, entero), (2-3 días, cortado)", Generalmente no alérgica," Vegana, vegetariana, sin gluten"
9,Lechuga Iceberg,18.83,1.61,Bajo en Sodio,No,110,https://www.istockphoto.com/es/foto/iceberg-acolchado-gm96657460-919286,Si,https://www.youtube.com/watch?v=BVnVahvQ8CA,65,No,No,0%,"Tipo de lechuga crujiente y de hojas compactas, con sabor suave y refrescante.         "," Bajo en calorías, proporciona hidratación y es una fuente de vitamina K, que es importante para la salud ósea.        "," Cundinamarca, Boyacá, y Antioquia.","25,000 toneladas",Cruda en ensaladas.<br>- Como base de wraps o tacos.<br>- Como cama para otros alimentos en platos fríos.,50-70 g,"Suave, acuosa",Crujiente," Muy ligero, fresco",14,Bajo (15),96,"Ensaladas, base de wraps, acompañamiento en platos fríos", Refrigerada (1-2 semanas), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
10,Jaca,11.1,4.2,Importado,No,40,https://www.istockphoto.com/es/foto/objeto-único-de-jackfruit-aislado-sobre-fondo-blanco-gm1369037190-438881927,Si,https://www.youtube.com/watch?v=8l26L4olbbk,10,No,No,0%,"Fruta grande con piel espinosa y pulpa amarilla dulce, similar a la piña en sabor.     "," Rica en fibra, vitaminas y minerales, apoya la digestión y puede ser una alternativa nutritiva a las proteínas animales. "," La jaca o jackfruit no es muy común en Colombia, pero puede encontrarse en algunas áreas tropicales de la región Caribe.","1,000 toneladas",Fresca como fruta.<br>- Cocida como sustituto de carne en platillos veganos.<br>- En postres o batidos.,100-150 g,"Dulce, con notas tropicales","Firme, fibrosa"," Dulce, afrutado, fuerte",95,Medio (50-60),74,"Snack, sustituto de carne en platillos veganos, postres, batidos"," Refrigerada (2-3 días, entera o en trozos)", Alérgeno en personas con alergia," Vegana, vegetariana, sin gluten"
